Symbol,Name,Market Cap,Country,IPO Year,Sector,Industry
SNAL,Snail Inc. Class A Common Stock,47644643.0,United States,2022.0,Technology,Computer Software: Prepackaged Software
SNAP,Snap Inc. Class A Common Stock,15497813067.0,United States,2017.0,Technology,Computer Software: Programming Data Processing
SNAX,Stryve Foods Inc. Class A Common Stock,5556356.0,United States,2019.0,Consumer Staples,Packaged Foods
SNAXW,Stryve Foods Inc. Warrant,31397.0,United States,2019.0,Consumer Staples,Packaged Foods
SNBR,Sleep Number Corporation Common Stock,461162640.0,United States,,Consumer Discretionary,Home Furnishings
SNCE,Science 37 Holdings Inc. Common Stock,45088083.0,United States,2020.0,Technology,Computer Software: Prepackaged Software
SNCR,Synchronoss Technologies Inc. Common Stock,49518590.0,United States,2018.0,Technology,EDP Services
SNCRL,Synchronoss Technologies Inc. 8.375% Senior Notes due 2026,185299364.0,United States,,Technology,EDP Services
SNCY,Sun Country Airlines Holdings Inc. Common Stock,797614141.0,United States,2021.0,Consumer Discretionary,Air Freight/Delivery Services
SND,Smart Sand Inc. Common Stock,93174030.0,United States,2016.0,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SNDA,Sonida Senior Living Inc. Common Stock,70778399.0,United States,,Health Care,Hospital/Nursing Management
SNDL,SNDL Inc. Common Shares,391691568.0,Canada,2019.0,Health Care,Pharmaceuticals and Biotechnology
SNDR,Schneider National Inc. Common Stock,4688859253.0,United States,2017.0,Industrials,Trucking Freight/Courier Services
SNDX,Syndax Pharmaceuticals Inc. Common Stock,809141797.0,United States,2016.0,Health Care,Biotechnology: Pharmaceutical Preparations
SNES,SenesTech Inc. Common Stock,1125911.0,United States,2016.0,Industrials,Agricultural Chemicals
SNEX,StoneX Group Inc. Common Stock,1889204309.0,United States,,Finance,Investment Bankers/Brokers/Service
SNFCA,Security National Financial Corporation Class A Common Stock,160894083.0,United States,,Finance,Finance: Consumer Services
SNGX,Soligenix Inc. Common Stock,5304759.0,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
SNMP,Evolve Transition Infrastructure LP Common Units representing Class B Limited Liability Company Interests,11706393.0,,,Energy,Oil & Gas Production
SNN,Smith & Nephew SNATS Inc. Common Stock,9781890227.0,United Kingdom,,Health Care,Industrial Specialties
SNOA,Sonoma Pharmaceuticals Inc. Common Stock,3857077.0,United States,2007.0,Health Care,Biotechnology: Pharmaceutical Preparations
SNOW,Snowflake Inc. Class A Common Stock,50971620000.0,United States,2020.0,Technology,Computer Software: Prepackaged Software
SNPO,Snap One Holdings Corp. Common Stock,645864038.0,United States,2021.0,Consumer Discretionary,Electronics Distribution
SNPS,Synopsys Inc. Common Stock,73882318299.0,United States,1992.0,Technology,Computer Software: Prepackaged Software
SNPX,Synaptogenix Inc. Common Stock,3161169.0,United States,,Health Care, Medicinal Chemicals and Botanical Products 
SNSE,Sensei Biotherapeutics Inc. Common Stock,17306066.0,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
SNT,Senstar Technologies Ltd. Ordinary Shares,28748223.0,Israel,,Telecommunications,Telecommunications Equipment
SNTG,Sentage Holdings Inc. Ordinary Shares,4805381.0,China,2021.0,Finance,Finance: Consumer Services
SNTI,Senti Biosciences Inc. Common Stock,15327999.0,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
SNV,Synovus Financial Corp. Common Stock,4015209935.0,United States,,Finance,Major Banks
SNV^D,Synovus Financial Corp. Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D Liquation Preference $25.00 per Share,,United States,,,
SNV^E,Synovus Financial Corp. 5.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series E,,United States,,,
SNX,TD SYNNEX Corporation Common Stock,8532301406.0,United States,2003.0,Technology,Retail: Computer Software & Peripheral Equipment
SNY,Sanofi ADS,131130446468.0,France,,Health Care,Biotechnology: Pharmaceutical Preparations
SO,Southern Company (The) Common Stock,72706740422.0,United States,,Utilities,Power Generation
SOBR,SOBR Safe Inc. Common Stock,16597390.0,United States,,Consumer Discretionary,Newspapers/Magazines
SOFI,SoFi Technologies Inc. Common Stock  ,7325381785.0,United States,,Finance,Diversified Financial Services
SOFO,Sonic Foundry Inc. Common Stock,6555254.0,United States,,Technology,Computer Software: Prepackaged Software
SOHO,Sotherly Hotels Inc. Common Stock,29402629.0,United States,,Real Estate,Real Estate Investment Trusts
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,424837666.0,United States,,Real Estate,Real Estate Investment Trusts
SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,439320768.0,United States,,Real Estate,Real Estate Investment Trusts
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,431596447.0,United States,,Real Estate,Real Estate Investment Trusts
SOHU,Sohu.com Limited American Depositary Shares,284068369.0,China,,Technology,EDP Services
SOI,Solaris Oilfield Infrastructure Inc. Class A Common Stock,458710271.0,United States,2017.0,Industrials,Metal Fabrications
SOJC,Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077,636706875.0,United States,2017.0,Utilities,Power Generation
SOJD,Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080,593160400.0,United States,2020.0,Utilities,Power Generation
SOJE,Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060,13568046611.0,United States,2020.0,Basic Materials,Metal Mining
SOL,Emeren Group Ltd American Depositary Shares each representing 10 shares,167564058.0,China,2008.0,Technology,Semiconductors
SOLO,Electrameccanica Vehicles Corp. Ltd. Common Stock,53083123.0,Canada,,Consumer Discretionary,Auto Parts:O.E.M.
SON,Sonoco Products Company Common Stock,5158374545.0,United States,,Consumer Discretionary,Containers/Packaging
SOND,Sonder Holdings Inc. Class A Common Stock,73784400.0,United States,2021.0,Consumer Discretionary,Hotels/Resorts
SONDW,Sonder Holdings Inc. Warrants,301745.0,United States,2021.0,Consumer Discretionary,Hotels/Resorts
SONM,Sonim Technologies Inc. Common Stock,36330459.0,United States,2019.0,Utilities,Telecommunications Equipment
SONN,Sonnet BioTherapeutics Holdings Inc. Common Stock,4323737.0,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
SONO,Sonos Inc. Common Stock,1439056522.0,United States,2018.0,Consumer Discretionary,Consumer Electronics/Video Chains
SONX,Sonendo Inc. Common Stock,16576780.0,,2021.0,Health Care,Medical/Dental Instruments
SONY,Sony Group Corporation American Depositary Shares ,106199246250.0,Japan,,Consumer Staples,Consumer Electronics/Appliances
SOPA,Society Pass Incorporated Common Stock,7970873.0,United States,2021.0,Technology,EDP Services
SOPH,SOPHiA GENETICS SA Ordinary Shares,207142600.0,Switzerland,2021.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SOR,Source Capital Inc. Common Stock,317686150.0,United States,,Finance,Investment Managers
SOS,SOS Limited American Depositary Shares,1177982461.0,,2017.0,Finance,Finance: Consumer Services
SOTK,Sono-Tek Corporation Common Stock,80764068.0,United States,,Technology,Industrial Machinery/Components
SOUN,SoundHound AI Inc Class A Common Stock,432281996.0,United States,,Technology,EDP Services
SOUNW,SoundHound AI Inc. Warrant,62799918.0,United States,2021.0,Technology,EDP Services
SOVO,Sovos Brands Inc. Common Stock,2269022097.0,United States,2021.0,Consumer Staples,Packaged Foods
SP,SP Plus Corporation Common Stock,988375433.0,United States,2004.0,Consumer Discretionary,Rental/Leasing Companies
SPB,Spectrum Brands Holdings Inc. Common Stock,2726188434.0,United States,,Miscellaneous,Industrial Machinery/Components
SPCB,SuperCom Ltd. Ordinary Shares (Israel),2353907.0,Israel,,Technology,Semiconductors
SPCE,Virgin Galactic Holdings Inc. Common Stock,633310632.0,United States,2017.0,Consumer Discretionary,Transportation Services
SPE,Special Opportunities Fund Inc Common Stock,0.0,United States,,Finance,Finance/Investors Services
SPE^C,Special Opportunities Fund Inc. 2.75% Convertible Preferred Stock Series C,,United States,,,
SPFI,South Plains Financial Inc. Common Stock,452271964.0,United States,2019.0,Finance,Major Banks
SPG,Simon Property Group Inc. Common Stock,35340768310.0,United States,,Real Estate,Real Estate Investment Trusts
SPG^J,Simon Property Group Inc. Simon Property Group 8 3/8% Series J Cumulative Redeemable Preferred Stock,,United States,,,
SPGC,Sacks Parente Golf Inc. Common Stock,15068776.0,United States,2023.0,,
SPGI,S&P Global Inc. Common Stock,114117052420.0,United States,,Finance,Finance: Consumer Services
SPH,Suburban Propane Partners L.P. Common Stock,1047021350.0,United States,1996.0,Consumer Discretionary,Other Specialty Stores
SPHR,Sphere Entertainment Co. Class A Common Stock,1239969026.0,United States,2020.0,Consumer Discretionary,Movies/Entertainment
SPI,SPI Energy Co. Ltd. Ordinary Shares,21074925.0,China,,Technology,Semiconductors
SPIR,Spire Global Inc. Class A Common Stock,82490633.0,United States,2020.0,Consumer Discretionary,Telecommunications Equipment
SPKLU,Spark I Acquisition Corp. Unit,0.0,United States,2023.0,,
SPLK,Splunk Inc. Common Stock,24834693000.0,United States,2012.0,Technology,Computer Software: Prepackaged Software
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,929600458.0,United States,,Industrials,Industrial Specialties
SPLP^A,Steel Partners Holdings LP 6.0% Series A Preferred Units no par value,,United States,,,
SPNS,Sapiens International Corporation N.V. Common Shares (Cayman Islands),1404925200.0,Curacao,1992.0,Technology,Computer Software: Prepackaged Software
SPNT,SiriusPoint Ltd. Common Shares,1658170927.0,Bermuda,2013.0,Finance,Property-Casualty Insurers
SPNT^B,SiriusPoint Ltd. 8.00% Resettable Fixed Rate Preference Shares Series B $25.00 liquidation preference per share,,Bermuda,,,
SPOK,Spok Holdings Inc. Common Stock,287338009.0,United States,,Technology,Retail: Computer Software & Peripheral Equipment
SPOT,Spotify Technology S.A. Ordinary Shares,29285367900.0,Luxembourg,2018.0,Consumer Discretionary,Broadcasting
SPPL,SIMPPLE LTD. Ordinary Shares,0.0,Singapore,2023.0,,
SPR,Spirit Aerosystems Holdings Inc. Common Stock,2305836831.0,United States,2006.0,Industrials,Military/Government/Technical
SPRB,Spruce Biosciences Inc. Common Stock,55875425.0,United States,2020.0,Health Care, Medicinal Chemicals and Botanical Products 
SPRC,SciSparc Ltd. Ordinary Shares,2654901.0,Israel,,Health Care,Biotechnology: Pharmaceutical Preparations
SPRO,Spero Therapeutics Inc. Common Stock,56911992.0,United States,2017.0,Health Care,Biotechnology: Pharmaceutical Preparations
SPRU,Spruce Power Holding Corporation Class A Common Stock,689117944.0,United States,2019.0,Consumer Discretionary,Auto Parts:O.E.M.
SPRY,ARS Pharmaceuticals Inc. Common Stock,328277135.0,United States,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
SPSC,SPS Commerce Inc. Common Stock,6186531877.0,United States,2010.0,Technology,Computer Software: Prepackaged Software
SPT,Sprout Social Inc Class A Common Stock,2693920291.0,United States,2019.0,Technology,Computer Software: Prepackaged Software
SPTN,SpartanNash Company Common Stock,795138616.0,United States,,Consumer Discretionary,Food Distributors
SPWH,Sportsman's Warehouse Holdings Inc. Common Stock,194217595.0,United States,2014.0,Consumer Discretionary,Other Specialty Stores
SPWR,SunPower Corporation Common Stock,996980966.0,United States,2005.0,Technology,Semiconductors
SPXC,SPX Technologies Inc. Common Stock,3581130712.0,United States,,Industrials,Industrial Machinery/Components
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,0.0,United States,,Finance,Trusts Except Educational Religious and Charitable
SQ,Block Inc. Class A Common Stock,27307010354.0,United States,2015.0,Technology,Computer Software: Prepackaged Software
SQFT,Presidio Property Trust Inc. Class A Common Stock,894397.0,United States,2020.0,Real Estate,Real Estate Investment Trusts
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,197279460.0,United States,,Real Estate,Real Estate Investment Trusts
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,236735.0,United States,,Real Estate,Real Estate Investment Trusts
SQL,SeqLL Inc. Common stock,4425757.0,United States,2021.0,Health Care,Medical Specialities
SQLLW,SeqLL Inc. Warrant,6284.0,United States,2021.0,Health Care,Medical Specialities
SQM,Sociedad Quimica y Minera S.A. Common Stock,15173114783.0,Chile,1993.0,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SQNS,Sequans Communications S.A. American Depositary Shares,133222488.0,France,2011.0,Technology,Semiconductors
SQSP,Squarespace Inc. Class A Common Stock,4049428765.0,United States,2021.0,Technology,Computer Software: Prepackaged Software
SR,Spire Inc. Common Stock,3073075322.0,United States,,Utilities,Oil/Gas Transmission
SR^A,Spire Inc. Depositary Shares each representing a 1/1000th interest in a share of 5.90% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,,
SRAD,Sportradar Group AG Class A Ordinary Shares,1867855500.0,Switzerland,2021.0,Technology,Computer Software: Programming Data Processing
SRBK,SR Bancorp Inc. Common stock,77489630.0,United States,2023.0,,
SRC,Spirit Realty Capital Inc. Common Stock,4786893095.0,United States,2013.0,Real Estate,Building operators
SRC^A,Spirit Realty Capital Inc. 6.000% Series A Cumulative Redeemable Preferred Stock,,United States,,,
SRCE,1st Source Corporation Common Stock,1059110095.0,United States,,Finance,Major Banks
SRCL,Stericycle Inc. Common Stock,3903488371.0,United States,1996.0,Industrials,Environmental Services
SRDX,Surmodics Inc. Common Stock,413984860.0,United States,1998.0,Health Care,Medical/Dental Instruments
SRE,DBA Sempra Common Stock,43969689173.0,United States,,Utilities,Oil/Gas Transmission
SREA,DBA Sempra 5.750% Junior Subordinated Notes due 2079,13542689438.0,United States,2019.0,Utilities,Natural Gas Distribution
