Company,Symbol,Country,Exchange,Sector,Market Cap
Sartorius Stedim Biotech S.A.,DIM,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€16.5bn
SBM Offshore N.V,SBMO,🇳🇱,Euronext Amsterdam,"Oil Equipment, Services & Distribution",€2.1bn
Schibsted ASA - Class A Shares,SCHA,🇳🇴,Oslo Stock Exchange,Software & Computer Services,kr24.2bn
Schindler Holding AG - Ordinary Shares - Non Voting,SCHP,🇨🇭,SIX Swiss Exchange,Industrial Engineering,Fr.7.3bn
Schneider Electric SE,SU,🇫🇷,Euronext Paris,Technology Hardware & Equipment,€81.0bn
Schroders,SDR,🇬🇧,London Stock Exchange,Financial Services,£5.9bn
Scor SE,SCR,🇫🇷,Euronext Paris,Life Insurance,€5.1bn
Scout24 SE,G24,🇩🇪,Frankfurt Stock Exchange,Support Services,€4.5bn
SEB,SK,🇫🇷,Euronext Paris,Banks,€4.8bn
Securitas AB - Class B Shares,SECU B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr49.8bn
Segro Plc,SGRO,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£8.5bn
SES SA - FRR,SESGL,🇱🇺,Luxembourg Stock Exchange,Media,€2.0bn
Severn Trent plc,SVT,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£7.5bn
SGS AG,SGSN,🇨🇭,SIX Swiss Exchange,Support Services,Fr.14.0bn
Siemens AG,SIE,🇩🇪,Frankfurt Stock Exchange,Electronic & Electrical Equipment,€101.5bn
Siemens Energy AG,ENR,🇩🇪,Frankfurt Stock Exchange,Energy,€8.8bn
Siemens Gamesa Renewable Energy SA,SGRE,🇪🇸,Madrid Stock Exchange,Alternative Energy,€12.3bn
Siemens Healthineers AG,SHL,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€51.9bn
Signify NV,LIGHT,🇳🇱,Euronext Amsterdam,Home Construction,€3.1bn
Sika AG,SIKA,🇨🇭,SIX Swiss Exchange,Chemicals,Fr.33.4bn
Siltronic Ag,WAF,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€2.4bn
SimCorp,SIM,🇩🇰,Copenhagen Stock Exchange,Software & Computer Services,kr.29.7bn
Skandinaviska Enskilda Banken - Class A Shares,SEB A,🇸🇪,Stockholm Stock Exchange,Banks,kr279.9bn
Skanska AB - Class B Shares,SKA B,🇸🇪,Stockholm Stock Exchange,Construction & Materials,kr66.3bn
SKF AB - Class B Shares,SKF B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr72.2bn
Smith (DS) plc,SMDS,🇬🇧,London Stock Exchange,General Industrials,£3.6bn
Smith & Nephew plc,SN.,🇬🇧,London Stock Exchange,Health Care Equipment & Services,£8.0bn
Smiths Group plc,SMIN,🇬🇧,London Stock Exchange,General Industrials,£5.3bn
Smurfit Kappa Group Plc,SKG,🇬🇧,London Stock Exchange,General Industrials,£6.7bn
Snam S.p.A.,SRG,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€14.8bn
Societe Generale S.A.,GLE,🇫🇷,Euronext Paris,Banks,€17.2bn
Sodexo,SW,🇫🇷,Euronext Paris,Support Services,€14.4bn
Sofina,SOF,🇧🇪,Euronext Brussels,Conglomerates,€5.9bn
Solvay SA,SOLB,🇧🇪,Euronext Brussels,Chemicals,€10.3bn
Sonova Holding AG,SOON,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.12.9bn
Sopra Steria Group,SOP,🇫🇷,Euronext Paris,Support Services,€3.5bn
Spectris,SXS,🇬🇧,London Stock Exchange,Electronic & Electrical Equipment,£3.0bn
Spie ICS,SPIE,🇫🇷,Euronext Paris,Support Services,€4.2bn
Spirax-Sarco Engineering plc,SPX,🇬🇧,London Stock Exchange,Industrial Engineering,£6.0bn
SSE Plc,SSE,🇬🇧,London Stock Exchange,Electricity,£17.2bn
SSP Group Plc,SSPG,🇬🇧,London Stock Exchange,Retailers,£1.5bn
Standard Chartered plc,STAN,🇬🇧,London Stock Exchange,Banks,£19.5bn
Stellantis N.V,STLA,🇺🇸,New York Stock Exchange,Automobiles & Parts,$59.7bn
St. James's Place Plc,STJ,🇬🇧,London Stock Exchange,Life Insurance,£3.4bn
ST Microelectronics,STMPA,🇫🇷,Euronext Paris,Electronic & Electrical Equipment,€34.4bn
Stora Enso Oyj - Ordinary Shares - Class R,STERV,🇫🇮,Helsinki Stock Exchange,General Industrials,€6.6bn
Storebrand ASA,STB,🇳🇴,Oslo Stock Exchange,Financial Services,kr39.0bn
Straumann Holding AG,STMN,🇨🇭,SIX Swiss Exchange,Health Care Equipment & Services,Fr.17.8bn
Subsea 7 S.A.,SUBC,🇳🇴,Oslo Stock Exchange,Construction & Materials,kr44.1bn
Suez.,SEV,🇫🇷,Euronext Paris,"Gas, Water & Multiutilities",€12.7bn
Svenska Cellulosa AB - Class B Shares,SCA B,🇸🇪,Stockholm Stock Exchange,Household Goods,kr93.5bn
Svenska Handelsbanken - Class A Shares,SHB A,🇸🇪,Stockholm Stock Exchange,Banks,kr193.4bn
Swatch Group AG,UHR,🇨🇭,SIX Swiss Exchange,Personal Goods,Fr.6.5bn
Swedbank AB - Class A Shares,SWED A,🇸🇪,Stockholm Stock Exchange,Banks,kr231.0bn
Swedish Match,SWMA,🇸🇪,Stockholm Stock Exchange,Household Goods,kr173.2bn
Swedish Orphan Biovitrum AB,SOBI,🇸🇪,Stockholm Stock Exchange,Pharmaceuticals & Biotechnology,kr73.9bn
Swisscom AG,SCMN,🇨🇭,SIX Swiss Exchange,Telecomms,Fr.27.8bn
Swiss Life Holding,SLHN,🇨🇭,SIX Swiss Exchange,Life Insurance,Fr.16.4bn
Swiss Prime Site AG,SPSN,🇨🇭,SIX Swiss Exchange,Real Estate,Fr.6.3bn
Swiss Re Ltd,SREN,🇨🇭,SIX Swiss Exchange,Nonlife Insurance,Fr.30.4bn
Symrise AG,SY1,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€12.7bn
TAG Immobilien AG,TEG,🇩🇪,Frankfurt Stock Exchange,Property,€1.6bn
Tate & Lyle plc,TATE,🇬🇧,London Stock Exchange,Food Producers,£2.5bn
Taylor Wimpey,TW.,🇬🇧,London Stock Exchange,Home Construction,£3.7bn
Tecan Group AG,TECN,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.3.5bn
TechnipFMC plc,FTI,🇺🇸,New York Stock Exchange,Oil & Gas Producers,$9.0bn
Tele2 AB - Class B Shares,TEL2 B,🇸🇪,Stockholm Stock Exchange,Telecomms,kr55.8bn
Telecom Italia S.p.A.,TIT,🇮🇹,Italian Stock Exchange,Telecomms,€3.9bn
Telefonaktiebolaget L M Ericsson - Class B Shares,ERIC B,🇸🇪,Stockholm Stock Exchange,Telecomms,kr152.1bn
Telefonica Deutschland Holding AG,O2D,🇩🇪,Frankfurt Stock Exchange,Telecomms,€4.9bn
Telefonica S.A,TEF,🇪🇸,Madrid Stock Exchange,Telecomms,€21.5bn
Telenet Group Hldgs NV,TNET,🇧🇪,Euronext Brussels,Telecomms,€2.4bn
Telenor ASA,TEL,🇳🇴,Oslo Stock Exchange,Telecomms,kr162.0bn
Teleperformance,TEP,🇫🇷,Euronext Paris,Support Services,€7.0bn
Telia Company AB,TELIA,🇸🇪,Stockholm Stock Exchange,Support Services,kr100.2bn
TEMENOS AG,TEMN,🇨🇭,SIX Swiss Exchange,Banks,Fr.4.7bn
Tenaris S.A.,TEN,🇮🇹,Italian Stock Exchange,Industrial Metals,€18.0bn
Terna - Trasmissione Elettricita Rete Nazionale,TRN,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€14.6bn
Tesco plc,TSCO,🇬🇧,London Stock Exchange,Food and Drug Retailers,£19.4bn
TGS ASA,TGS,🇳🇴,Oslo Stock Exchange,Oil & Gas Producers,kr18.5bn
Thales S.A.,HO,🇫🇷,Euronext Paris,Aerospace & Defence,€29.0bn
thyssenkrupp AG,TKA,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€4.0bn
Tomra Systems ASA,TOM,🇳🇴,Oslo Stock Exchange,Support Services,kr25.3bn
TotalEnergies SE,TTE,🇫🇷,Euronext Paris,Oil & Gas Producers,€150.9bn
Travis Perkins plc,TPK,🇬🇧,London Stock Exchange,Support Services,£1.5bn
Trelleborg AB - Class B Shares,TREL B,🇸🇪,Stockholm Stock Exchange,General Industrials,kr60.0bn
Tritax Big Box Reit Plc,BBOX,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£2.5bn
Tryg AS,TRYG,🇩🇰,Copenhagen Stock Exchange,Nonlife Insurance,kr.86.4bn
Tui AG,TUI1,🇩🇪,Frankfurt Stock Exchange,Travel & Leisure,€2.4bn
UBISoft Entertainment,UBI,🇫🇷,Euronext Paris,Personal Goods,€3.4bn
UBS Group AG,UBSG,🇨🇭,SIX Swiss Exchange,Banks,Fr.73.1bn
UCB SA,UCB,🇧🇪,Euronext Brussels,Pharmaceuticals & Biotechnology,€14.0bn
Umicore,UMI,🇧🇪,Euronext Brussels,Industrial Metals,€5.7bn
Unibail-Rodamco-Westfield - Stapled (2 Ordinary Shares),URW,🇳🇱,Euronext Amsterdam,Real Estate Investment & Services,€6.0bn
Unicredit Spa,UCG,🇮🇹,Italian Stock Exchange,Financial Services,€39.5bn
Unilever plc,ULVR,🇬🇧,London Stock Exchange,Household Goods,£99.8bn
Unione Di Banche Italiane,UBI,🇮🇹,Italian Stock Exchange,Banks,€4.1bn
Uniper SE,UN01,🇩🇪,Frankfurt Stock Exchange,Energy,€1.5bn
United Internet AG,UTDI,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€3.9bn
United Utilities Group PLC - Class A Shares,UU.,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£7.0bn
Unite Group plc.,UTG,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£3.8bn
UPM-Kymmene Oyj,UPM,🇫🇮,Helsinki Stock Exchange,General Industrials,€16.4bn
Valeo S.A.,FR,🇫🇷,Euronext Paris,Automobiles & Parts,€3.1bn
Valmet Corporation,VALMT,🇫🇮,Helsinki Stock Exchange,General Industrials,€3.8bn
VAT Group AG,VACN,🇨🇭,SIX Swiss Exchange,Industrial Engineering,Fr.9.5bn
Veolia Environnement S.A.,VIE,🇫🇷,Euronext Paris,"Gas, Water & Multiutilities",€18.1bn
Verbund AG,VER,🇦🇹,Vienna Stock Exchange,Electricity,€13.8bn
Vestas Wind Systems AS,VWS,🇩🇰,Copenhagen Stock Exchange,Alternative Energy,kr.146.0bn
Victrex plc,VCT,🇬🇧,London Stock Exchange,Chemicals,£1.2bn
Vifor Pharma AG,VIFN,🇨🇭,SIX Swiss Exchange,Health Care Equipment & Services,Fr.10.8bn
Vinci,DG,🇫🇷,Euronext Paris,Construction & Materials,€59.5bn
Virgin Money UK Plc.,VMUK,🇬🇧,London Stock Exchange,Banks,£1.0bn
Viscofan S.A.,VIS,🇪🇸,Madrid Stock Exchange,Food Producers,€2.5bn
Vivendi SE,VIV,🇫🇷,Euronext Paris,Mobile Telecommunications,€8.7bn
Vodafone Group plc,VOD,🇬🇧,London Stock Exchange,Mobile Telecommunications,£20.5bn
Voestalpine AG,VOE,🇦🇹,Vienna Stock Exchange,Industrial Metals,€4.1bn
Volkswagen AG - ZC PRF PERPETUAL EUR,VOW3,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€21.2bn
Volvo AB - Class B Shares,VOLV B,🇸🇪,Stockholm Stock Exchange,Automobiles & Parts,kr348.0bn
Vonovia SE,VNA,🇩🇪,Frankfurt Stock Exchange,Real Estate Investment & Services,€16.6bn
Warehousing & Distribution De Pauw,WDP,🇧🇪,Euronext Brussels,Support Services,€4.7bn
Wartsila Oyj Abp,WRT1V,🇫🇮,Helsinki Stock Exchange,Technology Hardware & Equipment,€5.7bn
Weir Group plc,WEIR,🇬🇧,London Stock Exchange,Industrial Engineering,£4.6bn
Wendel,MF,🇫🇷,Euronext Paris,Financial Services,€3.2bn
Whitbread plc,WTB,🇬🇧,London Stock Exchange,Travel & Leisure,£6.7bn
WH Smith Plc,SMWH,🇬🇧,London Stock Exchange,Retailers,£1.6bn
Wienerberger AG,WIE,🇦🇹,Vienna Stock Exchange,Construction & Materials,€2.5bn
Wirecard AG,WDI,🇩🇪,Frankfurt Stock Exchange,Financial Services,€6mn
Wolters Kluwers NV,WKL,🇳🇱,Euronext Amsterdam,Financial Services,€29.6bn
Worldline,WLN,🇫🇷,Euronext Paris,Financial Services,€6.8bn
WPP Plc.,WPP,🇬🇧,London Stock Exchange,Media,£7.3bn
Yara International ASA.,YAR,🇳🇴,Oslo Stock Exchange,Chemicals,kr92.1bn
Zalando SE,ZAL,🇩🇪,Frankfurt Stock Exchange,Support Services,€5.8bn
Zurich Insurance Group AG Ltd,ZURN,🇨🇭,SIX Swiss Exchange,Life Insurance,Fr.61.1bn
