Company,Symbol,Country,Exchange,Sector,Market Cap
Halma plc,HLMA,🇬🇧,London Stock Exchange,Electronic & Electrical Equipment,£6.9bn
Hammerson plc,HMSO,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£1.1bn
Hannover Ruck SE,HNR1,🇩🇪,Frankfurt Stock Exchange,Nonlife Insurance,€25.0bn
Hargreaves Lansdown Plc,HL.,🇬🇧,London Stock Exchange,General Financial,£3.3bn
Hays plc,HAS,🇬🇧,London Stock Exchange,Support Services,£1.5bn
HeidelbergCement AG,HEI,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€12.8bn
Heineken Holdings,HEIO,🇳🇱,Euronext Amsterdam,Beverages,€20.2bn
Heineken N.V,HEIA,🇳🇱,Euronext Amsterdam,Beverages,€47.6bn
HELLA GmbH & Co. KGaA,HLE,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€8.0bn
Helvetia Holding AG,HELN,🇨🇭,SIX Swiss Exchange,Nonlife Insurance,Fr.6.3bn
Henkel AG & Co. KGAA - Preference Share,HEN3,🇩🇪,Frankfurt Stock Exchange,Chemicals,€11.9bn
Hennes & Mauritz AB - Class B Shares,HM B,🇸🇪,Stockholm Stock Exchange,Retailers,kr215.7bn
Hera Spa,HER,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€3.8bn
Hermes International,RMS,🇫🇷,Euronext Paris,Leisure Goods,€174.6bn
Hexagon AB - Class B Shares,HEXA B,🇸🇪,Stockholm Stock Exchange,Technology Hardware & Equipment,kr243.6bn
Hexpol AB - Class B Shares,HPOL B,🇸🇪,Stockholm Stock Exchange,Chemicals,kr30.1bn
Hikma Pharmaceuticals Plc,HIK,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£4.3bn
Hiscox Ltd,HSX,🇬🇧,London Stock Exchange,Nonlife Insurance,£3.4bn
H. Lundbeck AS,LUN,🇩🇰,Copenhagen Stock Exchange,Pharmaceuticals & Biotechnology,kr.34.4bn
Hochtief AG,HOT,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€7.1bn
Holcim Ltd,HOLN,🇨🇭,SIX Swiss Exchange,Construction & Materials,Fr.31.8bn
Homeserve,HSV,🇬🇧,London Stock Exchange,Support Services,£4.1bn
Howden Joinery Group Plc,HWDN,🇬🇧,London Stock Exchange,Support Services,£3.5bn
HSBC Holdings plc,HSBA,🇬🇧,London Stock Exchange,Banks,£120.0bn
Hugo Boss AG - Ordinary Shares (Registered),BOSS,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€4.1bn
Huhtamaki Oyj,HUH1V,🇫🇮,Helsinki Stock Exchange,Food and Drug Retailers,€3.4bn
Husqvarna AB - Class B Shares,HUSQ B,🇸🇪,Stockholm Stock Exchange,Household Goods,kr33.9bn
Iberdrola S.A.,IBE,🇪🇸,Madrid Stock Exchange,Electricity,€65.9bn
Icade,ICAD,🇫🇷,Euronext Paris,Property,€2.2bn
ICA Gruppen AB,ICA,🇸🇪,Stockholm Stock Exchange,Retailers,kr107.8bn
IG Group Holdings Plc,IGG,🇬🇧,London Stock Exchange,Financial Services,£2.4bn
IMCD N.V.,IMCD,🇳🇱,Euronext Amsterdam,Chemicals,€6.3bn
Imerys,NK,🇫🇷,Euronext Paris,Mining,€2.1bn
IMI plc,IMI,🇬🇧,London Stock Exchange,Industrial Engineering,£3.8bn
Imperial Brands Plc,IMB,🇬🇧,London Stock Exchange,Tobacco,£15.4bn
Inchcape plc,INCH,🇬🇧,London Stock Exchange,Retailers,£2.8bn
Industria De Diseno Textil SA,ITX,🇪🇸,Madrid Stock Exchange,Personal Goods,€104.2bn
"Industrivarden, AB - Class A Shares",INDU A,🇸🇪,Stockholm Stock Exchange,Financial Services,kr72.5bn
Infineon Technologies AG,IFX,🇩🇪,Frankfurt Stock Exchange,Technology Hardware & Equipment,€38.5bn
Informa Plc,INF,🇬🇧,London Stock Exchange,Media,£9.5bn
ING Groep N.V.,INGA,🇳🇱,Euronext Amsterdam,Banks,€43.6bn
Inmobiliaria Colonial Socimi S.A.,COL,🇪🇸,Madrid Stock Exchange,Property,€2.8bn
Intercontinental Hotels Group,IHG,🇬🇧,London Stock Exchange,Travel & Leisure,£9.7bn
Intermediate Capital Group,ICP,🇬🇧,London Stock Exchange,Financial Services,£3.8bn
International Consolidated Airlines Group SA,IAG,🇬🇧,London Stock Exchange,Travel & Leisure,£6.9bn
International Distributions Services Plc,IDS,🇬🇧,London Stock Exchange,Industrial Transportation,£2.3bn
Interpump Group Spa,IP,🇮🇹,Italian Stock Exchange,"Gas, Water & Multiutilities",€4.3bn
Intertek Group plc,ITRK,🇬🇧,London Stock Exchange,Support Services,£6.5bn
Intesa Sanpaolo Spa,ISP,🇮🇹,Italian Stock Exchange,Banks,€42.9bn
Investec plc,INVP,🇬🇧,London Stock Exchange,Financial Services,£2.9bn
Investor AB - Class B Shares,INVE B,🇸🇪,Stockholm Stock Exchange,Financial Services,kr364.4bn
Ipsen,IPN,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€9.5bn
ISS A/S,ISS,🇩🇰,Copenhagen Stock Exchange,Support Services,kr.18.5bn
Italgas S.p.A,IG,🇮🇹,Italian Stock Exchange,Oil & Gas Producers,€3.9bn
ITV,ITV,🇬🇧,London Stock Exchange,Media,£2.6bn
JCDecaux SA,DEC,🇫🇷,Euronext Paris,Media,€3.2bn
"Jeronimo Martins - S.G.P.S., S.A.",JMT,🇵🇹,Euronext Lisbon,Retailers,€12.8bn
Johnson Matthey plc,JMAT,🇬🇧,London Stock Exchange,Chemicals,£2.7bn
John Wood Group Plc,WG.,🇬🇧,London Stock Exchange,"Oil Equipment, Services & Distribution",£959mn
Julius Baer Group Ltd,BAER,🇨🇭,SIX Swiss Exchange,Banks,Fr.11.1bn
Jupiter Fund Management Plc,JUP,🇬🇧,London Stock Exchange,Financial Services,£438mn
Just Eat Takeaway.com N.V.,TKWY,🇳🇱,Euronext Amsterdam,Food and Drug Retailers,€2.5bn
Jyske Bank AS,JYSK,🇩🇰,Copenhagen Stock Exchange,Banks,kr.33.0bn
KBC Groupe NV,KBC,🇧🇪,Euronext Brussels,Banks,€22.0bn
Kering,KER,🇫🇷,Euronext Paris,Leisure Goods,€50.0bn
Kerry Group Plc - Class A Shares,KRZ,🇮🇪,Irish Stock Exchange,Food Producers,€12.6bn
Kesko Oyj - Class B Shares,KESKOB,🇫🇮,Helsinki Stock Exchange,Retailers,€4.2bn
KGHM Polska Miedz S.A.,KGH,🇵🇱,Warsaw Stock Exchange,Industrial Metals,zł21.6bn
Kindred Group plc - SDR,KIND SDB,🇸🇪,Stockholm Stock Exchange,Travel & Leisure,kr21.5bn
Kingfisher Plc,KGF,🇬🇧,London Stock Exchange,Retailers,£3.8bn
Kingspan Group Plc,KRX,🇮🇪,Irish Stock Exchange,Construction & Materials,€11.2bn
Kinnevik AB - Class B Shares,KINV B,🇸🇪,Stockholm Stock Exchange,Financial Services,kr22.7bn
Kion Group AG,KGX,🇩🇪,Berlin Stock Exchange,Construction & Materials,€4.5bn
Klepierre,LI,🇫🇷,Euronext Paris,Real Estate,€6.3bn
Knorr-Bremse AG,KBX,🇩🇪,Frankfurt Stock Exchange,Engineering,€8.7bn
Kone Corp. - Class B Shares,KNEBV,🇫🇮,Helsinki Stock Exchange,Engineering,€17.3bn
Konecranes Plc,KCR,🇫🇮,Helsinki Stock Exchange,General Industrials,€2.4bn
Koninklijke Ahold Delhaize N.V.,AD,🇳🇱,Euronext Amsterdam,Food and Drug Retailers,€26.2bn
Koninklijke KPN NV,KPN,🇳🇱,Euronext Amsterdam,Telecomms,€12.4bn
Koninklijke Philips N.V.,PHIA,🇳🇱,Euronext Amsterdam,Electronic & Electrical Equipment,€16.2bn
Koninklijke Vopak,VPK,🇳🇱,Euronext Amsterdam,Commercial Transportation,€3.9bn
K & S AG,SDF,🇩🇪,Frankfurt Stock Exchange,Chemicals,€3.1bn
Kuehne + Nagel International AG - Ordinary Shares (Registered),KNIN,🇨🇭,SIX Swiss Exchange,Support Services,Fr.29.9bn
Lagardere SA,MMB,🇫🇷,Euronext Paris,Conglomerates,€2.6bn
Land Securities Group,LAND,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£4.3bn
Lanxess AG,LXS,🇩🇪,Frankfurt Stock Exchange,Chemicals,€1.8bn
Legal & General Group plc,LGEN,🇬🇧,London Stock Exchange,Life Insurance,£12.4bn
LEG Immobilien SE,LEG,🇩🇪,Frankfurt Stock Exchange,Property,€4.1bn
Legrand SA,LR,🇫🇷,Euronext Paris,Electronic & Electrical Equipment,€21.4bn
L E Lundbergfoeretagen AB - Class B Shares,LUND B,🇸🇪,Stockholm Stock Exchange,Financial Services,kr67.1bn
Leonardo Finmeccanica,LDO,🇮🇹,Italian Stock Exchange,Aerospace & Defence,€8.0bn
Lloyds Banking Group plc,LLOY,🇬🇧,London Stock Exchange,Banks,£26.4bn
Logitech International S.A.,LOGN,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.10.7bn
London Stock Exchange Group,LSEG,🇬🇧,London Stock Exchange,Financial Services,£43.0bn
